title,website,price,date
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1295.28,01/02/15 01:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,780.0295007271,01/02/15 02:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,287.8487129427,01/02/15 03:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,39.2700462601,01/02/15 04:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,823.0153625326,01/02/15 05:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1202.3976285598,01/02/15 06:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,696.7832471264,01/02/15 07:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1400.7791238478,01/02/15 08:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1312.1523288299,01/02/15 09:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1244.9735456926,01/02/15 10:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1102.7348932493,01/02/15 11:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,740.1685666053,01/03/15 12:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,713.9909390582,01/03/15 01:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1114.042015231,01/03/15 02:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1384.6123232371,01/03/15 03:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,189.9768365481,01/03/15 04:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,613.5233038288,01/03/15 05:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,716.885456198,01/03/15 06:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1058.2321882552,01/03/15 07:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1184.0876840361,01/03/15 08:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,27.1737312836,01/03/15 09:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,415.8564162003,01/03/15 10:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1393.9310030768,01/03/15 11:25 AM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,1355.1674593902,01/03/15 12:25 PM
EF 35mm f/1.4L II USM Refurbished,https://shop.usa.canon.com/shop/en/catalog/ef-35mm-f-1-4l-ii-usm-refurbished-l-series-wide-angle-prime-lens,729.5233744408,01/03/15 01:25 PM
